Service Name	Agreed Domain Name	Department
[Find out if you need an international trade licence]	-	BIS
[Close a Charity]	close-charity.service.gov.uk	CC
Charities Registration	register-charity.service.gov.uk	CC
[Companies House]	manage-company-data.service.gov.uk	CH
GOV.UK Pay	pay.service.gov.uk	CO / GDS
[govwifi]	govwifi.service.gov.uk	CO / GDS
[Equine database]	-	DEFRA
[Funding calculator for flood and coastal erosion risk management (FCRM)]	-	DEFRA / EA
[Flood Warnings Service]	sign-up-flood-warnings.service.gov.uk	DEFRA / EA
[Marine Management Organisation ERS]	-	DEFRA / MMO
Medical Notification Service	notify-medical-condition.service.gov.uk	DVLA
Medical Renewal Service	-	DVLA
[OLEV project]		DVLA
State Pension Activation	get-state-pension.service.gov.uk	DWP
[Industrial Injuries Disablement Benefit]	-	DWP
Tax Free Childcare (Provider)	-	HMRC
[e-GAR]		HO/BF
[Innovation Funding Service]	apply-for-innovation-funding.service.gov.uk	Innovate UK
Defence Cyber Protection Partnership	supplier-cyber-protection.service.gov.uk	MoD
[Assisted Prison Visits]	help-with-prison-visits.service.gov.uk	MoJ
[Appeal my case]	-	MoJ / HMCTS
[Defence client's case]	-	MoJ / HMCTS
[Defend my case]	-	MoJ / HMCTS
[Judge a case]	-	MoJ / HMCTS
[Manage a court]	-	MoJ / HMCTS
[Manage users]	-	MoJ / HMCTS
[Prosecute a case]	-	MoJ / HMCTS
[HMCTS Form - Child Custody]	-	MoJ / HMCTS
Juror Digital Online Summons	respond-juror-summons.service.gov.uk	MoJ / HMCTS
[Family Visas]	"HOLD DISCUSSIONS - CONTACT ZUZ see email: ""Fwd: HO Visas"""	"HOLD DISCUSSIONS - CONTACT ZUZ see email: ""Fwd: HO Visas"""
[Fast Track apprenticeship recruitment service]	-	
Register a Vehicle	-	
NHS e-referral	-	
Local Land Charges	-	
CS Fast Stream	-	
EU Regional Development / Social Fund	-	
Campaigns platform	-	
NHS Pensions	-	
[Contracts finder account]	-	
Apply for Divorce	-	
[Report Landfill Data / EA Data Returns]	-	DEFRA / EA
[RAISE replacement service]	analyse-school-performance.service.gov.uk	DfE
Complete the Deputy Report	complete-deputy-report.service.gov.uk	MoJ
Apply for Bankruptcy	apply-for-bankruptcy.service.gov.uk	BIS / Insolvency
Director Conduct Assessment Service	report-director-conduct.service.gov.uk	BIS / Insolvency
VICTOR (Veterinary Investigation Centre Tests and Online Results)	animal-disease-testing.service.gov.uk	DEFRA / EA / APHA
Pay Fine Online	paydvlafine.service.gov.uk	DVLA
Update Charity Details	update-charity-details.service.gov.uk	CC
[Take part in user research]	take-part-in-research.service.gov.uk	CO / GDS
Legalisation Service	get-document-legalised.service.gov.uk	FCO
Public Offers of Help	help-refugees-uk.service.gov.uk	HO
[Flood Risk Activity Exemptions]	register-flood-risk-exemption.service.gov.uk	DEFRA / EA
Civil Service Fast Stream	apply-civil-service-fast-stream.service.gov.uk	HMRC / CO / CSR
Recruit an Apprentice	recruit-apprentice.service.gov.uk	BIS / SFA
Send Money to a Prisoner	send-money-to-prisoner.service.gov.uk	MoJ
Access to Work	get-disability-work-support.service.gov.uk	DWP
[Apply for a Debt Relief Order]	apply-for-debt-relief-order.service.gov.uk	BIS / Insolvency
Emergency Travel Documents	apply-emergency-travel-document.service.gov.uk	FCO
Referral Capture [Report a Benefit Fraud]	report-benefit-fraud.service.gov.uk	DWP
MOT Testing	mot-testing.service.gov.uk	VOSA
Apply for a Budgeting Loan	apply-budgeting-loan.service.gov.uk	DWP
Vehicle Operator Licencing	vehicle-operator-licensing.service.gov.uk	OTC
Fitness to Drive	driving-medical-condition.service.gov.uk	DVLA
[DVLA webchat]	dvla-web-chat.service.gov.uk	DVLA
Email DVLA	email-dvla.service.gov.uk	DVLA
Apprenticeships [Apprenticeships Digital Service / Manage Apprenticeship Levy]	manage-apprenticeships.service.gov.uk	BEIS / SFA
[Honours and Appointments Online Nomination Form]	nominate-uk-honour.service.gov.uk	CO
[Life Chances Fund]	access-life-chances-fund.service.gov.uk	CO
[Flood Map for Planning]	flood-map-for-planning.service.gov.uk	DEFRA / EA
I want to Fish	get-fishing-licence.service.gov.uk	DEFRA / EA
[Gender Pay Gap]	-	-
[Payment Duty Register]	-	BEIS
	barring.service.gov.uk	HO / DBS
	disclosure.service.gov.uk	HO / DBS
[Digital Interviewing]	-	
[Contact UKVI]	contact-ukvi.service.gov.uk	
Trade Tariff	trade-tariff.service.gov.uk	HMRC
